Id_ARTICOLO              ;AAR_DESCRIZ                                       ;AAR_DESCRIZAGG                                    ;AAR_ART_TIPO        ;AAR_COD_MADRE        ;AAR_COD_RADICE       ;AAR_ID_UM                ;AAR_LISVEN01;AAR_LISVEN02;AAR_LISVEN03;AAR_LISVEN04;AAR_LISACQO1;AAR_ID_CLIFOR            ;AAR_LISACQO2;AAR_ID_CLIFOR_2         ;emptyColumn
ASTPANGRXL               ;PANTALONI STRETCH GRIGIO 98% COT./2% SPANDEX      ;                                                  ;ART-CODICE          ;ASTPANGR             ;ASTPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASTPANGRXS               ;PANTALONI STRETCH GRIGIO 98% COT./2% SPANDEX      ;                                                  ;ART-CODICE          ;ASTPANGR             ;ASTPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASTPANGRXX               ;PANTALONI STRETCH GRIGIO 98% COT./2% SPANDEX      ;                                                  ;ART-CODICE          ;ASTPANGR             ;ASTPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ATECGI                   ;GIUBBINO TECHNO PLUS 65%POL-35% COT.              ;                                                  ;ART-RADICE          ;                     ;                     ;                         ;            ;            ;            ;            ;            ;0;            ;0;
ATECGIGR                 ;GIUBBINO TECHNO PLUS GRIGIO 65%POL-35% COT.       ;                                                  ;ART-MADRE           ;                     ;                     ;                         ;13,26;13,26;            ;13,26;            ;0;            ;0;
ATECGIGR M               ;GIUBBINO TECHNO PLUS GRIGIO 65%POL-35% COT.       ;                                                  ;ART-CODICE          ;ATECGIGR             ;ATECGI               ;                         ;            ;            ;            ;            ;            ;0;            ;0;
ATECGIGR S               ;GIUBBINO TECHNO PLUS GRIGIO 65%POL-35% COT.       ;                                                  ;ART-CODICE          ;ATECGIGR             ;ATECGI               ;                         ;            ;            ;            ;            ;            ;0;            ;0;
ATECGIGRLL               ;GIUBBINO TECHNO PLUS GRIGIO 65%POL-35% COT.       ;                                                  ;ART-CODICE          ;ATECGIGR             ;ATECGI               ;                         ;            ;            ;            ;            ;            ;0;            ;0;
ATECGIGRXL               ;GIUBBINO TECHNO PLUS GRIGIO 65%POL-35% COT.       ;                                                  ;ART-CODICE          ;ATECGIGR             ;ATECGI               ;                         ;            ;            ;            ;            ;            ;0;            ;0;
ATECGIGRXX               ;GIUBBINO TECHNO PLUS GRIGIO 65%POL-35% COT.       ;                                                  ;ART-CODICE          ;ATECGIGR             ;ATECGI               ;                         ;            ;            ;            ;            ;            ;0;            ;0;
ATECSA                   ;SALOPETTE TECHNO PLUS 65%POL-35% COT.             ;                                                  ;ART-RADICE          ;                     ;                     ;                         ;            ;            ;            ;            ;            ;0;            ;0;
ATECSAGR                 ;SALOPETTE TECHNO PLUS GRIGIA 65%POL-35% COT.      ;                                                  ;ART-MADRE           ;                     ;                     ;                         ;12,64;12,64;            ;12,64;            ;0;            ;0;
ATECSAGR M               ;SALOPETTE TECHNO PLUS GRIGIA 65%POL-35% COT.      ;                                                  ;ART-CODICE          ;ATECSAGR             ;ATECSA               ;                         ;            ;            ;            ;            ;            ;0;            ;0;
ATECSAGR S               ;SALOPETTE TECHNO PLUS GRIGIA 65%POL-35% COT.      ;                                                  ;ART-CODICE          ;ATECSAGR             ;ATECSA               ;                         ;            ;            ;            ;            ;            ;0;            ;0;
ATECSAGRLL               ;SALOPETTE TECHNO PLUS GRIGIA 65%POL-35% COT.      ;                                                  ;ART-CODICE          ;ATECSAGR             ;ATECSA               ;                         ;            ;            ;            ;            ;            ;0;            ;0;
ATECSAGRXX               ;SALOPETTE TECHNO PLUS GRIGIA 65%POL-35% COT.      ;                                                  ;ART-CODICE          ;ATECSAGR             ;ATECSA               ;                         ;            ;            ;            ;            ;            ;0;            ;0;
ATUTO2                   ;TUTA ORO COT. 100%                                ;                                                  ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ATUTO2VE                 ;TUTA ORO VERDE COT. 100%                          ;                                                  ;ART-MADRE           ;                     ;                     ;NR                       ;10,6;11,1;            ;10,3;            ;0;            ;0;
ATUTO2VE L               ;TUTA ORO VERDE COT. 100%                          ;                                                  ;ART-CODICE          ;ATUTO2VE             ;ATUTO2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ATUTO2VE M               ;TUTA ORO VERDE COT. 100%                          ;                                                  ;ART-CODICE          ;ATUTO2VE             ;ATUTO2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ATUTO2VE S               ;TUTA ORO VERDE COT. 100%                          ;                                                  ;ART-CODICE          ;ATUTO2VE             ;ATUTO2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ATUTO2VELL               ;TUTA ORO VERDE COT. 100%                          ;                                                  ;ART-CODICE          ;ATUTO2VE             ;ATUTO2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ATUTO2VEXL               ;TUTA ORO VERDE COT. 100%                          ;                                                  ;ART-CODICE          ;ATUTO2VE             ;ATUTO2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ATUTO2VEXX               ;TUTA ORO VERDE COT. 100%                          ;                                                  ;ART-CODICE          ;ATUTO2VE             ;ATUTO2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ATUTOR                   ;TUTA ORO COT. 100%                                ;                                                  ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ATUTORAR                 ;TUTA MOD. ORO ARANCIO COT. 100%                   ;265 GR X MTQ                                      ;ART-MADRE           ;                     ;                     ;NR                       ;10,6;11,1;            ;10,3;            ;0;            ;0;
ATUTORAR L               ;TUTA MOD. ORO ARANCIO COT. 100%                   ;                                                  ;ART-CODICE          ;ATUTORAR             ;ATUTOR               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
